Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.593136142987154,-0.416128002096294,1.1128746230967,0,0,0,171.31248043814,15.4278561210235,-0.769988015661924,-0.334753366098494,21.0949940889676,-0.217841138291508,14.6830569035469,0,0,0,0,0,0,package://simu_2_2.SLDASM/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://simu_2_2.SLDASM/meshes/base_link.STL,,simu_2.stp-1;supportPlate-1;slide_HGH35_b-1;slide_HGH35_b-2;slide_HGH35_b-3;slide_HGH35_b-4;SFU2510_connector-1;SFU2510_nut-1;实体3-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,0.00796741917125032,0.00201869056407794,0.11571807350516,0,0,0,6.27526433088856,0.0762054973100548,9.8218828095468E-06,-0.00530053527041223,0.0500772495105224,-0.000515039640446037,0.0562692167535695,0,0,0,0,0,0,package://simu_2_2.SLDASM/meshes/Link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simu_2_2.SLDASM/meshes/Link1.STL,,实体2-1,Origin_Joint1,axis_1,Joint1,revolute,0.8275,-1.3595,-0.29335,1.5708,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
Link2,-0.00525474426050954,-0.00581945167957287,0.131443823337851,0,0,0,7.36258419634407,0.151415779931164,-1.49717873131209E-05,0.000868975869957773,0.135639503612804,0.00168356970516783,0.0384883579875791,0,0,0,0,0,0,package://simu_2_2.SLDASM/meshes/Link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simu_2_2.SLDASM/meshes/Link2.STL,,实体14-1,Origin_Joint2,axis_2,Joint2,revolute,0.025,0,0.183,0,0,0,Link1,0,1,0,0,0,0,0,,,,,,,,
Link3,0.0158897367920047,0.00377551624182998,0.0103622040751268,0,0,0,2.90698496200659,0.00835937629770571,3.52504465952687E-05,-0.00140858848004335,0.0112132449173217,1.88954263089705E-05,0.0100277382095531,0,0,0,0,0,0,package://simu_2_2.SLDASM/meshes/Link3.STL,0.8,1,0.2,1,0,0,0,0,0,0,package://simu_2_2.SLDASM/meshes/Link3.STL,,实体1-1,Origin_Joint3,axis_3,Joint3,revolute,0,0,0.315,0,0,0,Link2,0,1,0,0,0,0,0,,,,,,,,
Link4,0.123981724655049,0.0034688213159495,0.00028915942443386,0,0,0,2.75654211573202,0.00584711967477938,-0.000156323192938724,5.19520515683455E-06,0.015611311463437,1.44373513448294E-05,0.017271308996991,0,0,0,0,0,0,package://simu_2_2.SLDASM/meshes/Link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simu_2_2.SLDASM/meshes/Link4.STL,,实体13-1,Origin_Joint4,axis_4,Joint4,revolute,0.10695,0.003,0.035,0,0,0,Link3,-1,0,0,0,0,0,0,,,,,,,,
Link5,0.015789170220162,0.00191367544264348,-3.03958143441641E-05,0,0,0,0.442067197041368,0.000318420757784035,1.66314420372671E-05,3.20639671746882E-07,0.000528480030475773,3.23079721640324E-07,0.000562282896446409,0,0,0,0,0,0,package://simu_2_2.SLDASM/meshes/Link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simu_2_2.SLDASM/meshes/Link5.STL,,实体4-1,Origin_Joint5,axis_5,Joint5,revolute,0.25805,0,0,0,0,0,Link4,0,-1,0,0,0,0,0,,,,,,,,
Link6,0.00598033195614667,0,4.31407313121746E-05,0,0,0,0.0139949492210213,3.02502810414477E-06,4.14985906986845E-23,-8.56055866655101E-10,1.71731248188302E-06,1.73391563198497E-22,1.70788961196181E-06,0,0,0,0,0,0,package://simu_2_2.SLDASM/meshes/Link6.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://simu_2_2.SLDASM/meshes/Link6.STL,,实体23-1,Origin_Joint6,axis_6,Joint6,revolute,0.0665,0,0,0,0,0,Link5,-1,0,0,0,0,0,0,,,,,,,,
