Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.59314,-0.42692,1.1129,0,0,0,171.31,15.428,-0.76999,-0.33475,21.095,-0.21784,14.683,0,0,0,0,0,0,package://kuka_urdf/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://kuka_urdf/meshes/base_link.STL,,simu_2.stp-1;supportPlate-1;slide_HGH35_b-1;slide_HGH35_b-2;slide_HGH35_b-3;slide_HGH35_b-4;SFU2510_connector-1;SFU2510_nut-1;实体3-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,0.0079674,0.0020187,0.11572,0,0,0,6.2753,0.076205,9.8219E-06,-0.0053005,0.050077,-0.00051504,0.056269,0,0,0,0,0,0,package://kuka_urdf/meshes/Link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://kuka_urdf/meshes/Link1.STL,,实体2-1,Origin_Joint1,axis_1,Joint1,revolute,0.8275,-0.43219,1.3595,0,0,0,base_link,0,0,1,500,1,0,0,,,,,,,,
Link2,-0.0052547,-0.0058195,0.13144,0,0,0,7.3626,0.15142,-1.4972E-05,0.00086898,0.13564,0.0016836,0.038488,0,0,0,0,0,0,package://kuka_urdf/meshes/Link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://kuka_urdf/meshes/Link2.STL,,实体14-1,Origin_Joint2,axis_2,Joint2,revolute,0.025,0,0.183,0,0,0,Link1,0,-1,0,500,1,0,0,,,,,,,,
Link3,0.0158897369187757,0.00377551618976696,0.0103622040607538,0,0,0,2.90698496734874,0.00835937630352445,3.5250457681856E-05,-0.00140858847686176,0.0112132449448129,1.88954255172529E-05,0.0100277382418828,0,0,0,0,0,0,package://kuka_urdf/meshes/Link3.STL,0.8,1,0.2,1,0,0,0,0,0,0,package://kuka_urdf/meshes/Link3.STL,,实体1-1,Origin_Joint3,axis_3,Joint3,revolute,0,0,0.315,0,0,0,Link2,0,-1,0,500,1,0,0,,,,,,,,
Link4,0.123981724214701,0.0034688211324434,0.000289159358459745,0,0,0,2.75654210425904,0.00584711964625554,-0.000156323136874248,5.19522467907723E-06,0.0156113113263976,1.44373593566699E-05,0.0172713088405886,0,0,0,0,0,0,package://kuka_urdf/meshes/Link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://kuka_urdf/meshes/Link4.STL,,实体13-1,Origin_Joint4,axis_4,Joint4,revolute,0.10695,0.003,0.035,0,0,0,Link3,-1,0,0,500,1,0,0,,,,,,,,
Link5,0.0157891702201667,0.00191367544264814,-3.03958143459404E-05,0,0,0,0.442067197041372,0.000318420757784039,1.663144203727E-05,3.2063967174793E-07,0.000528480030475778,3.23079721639523E-07,0.000562282896446415,0,0,0,0,0,0,package://kuka_urdf/meshes/Link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://kuka_urdf/meshes/Link5.STL,,实体4-1,Origin_Joint5,axis_5,Joint5,revolute,0.25805,0,0,0,0,0,Link4,0,1,0,500,1,0,0,,,,,,,,
Link6,0.005980331956146,3.33066907387547E-16,4.3140731314173E-05,0,0,0,0.0139949492210214,3.02502810414478E-06,-3.7277595740986E-21,-8.56055866655071E-10,1.71731248188302E-06,1.43466354682744E-22,1.70788961196181E-06,0,0,0,0,0,0,package://kuka_urdf/meshes/Link6.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://kuka_urdf/meshes/Link6.STL,,实体23-1,Origin_Joint6,axis_6,Joint6,revolute,0.0665,0,0,0,0,0,Link5,1,0,0,500,1,0,0,,,,,,,,
