Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.75837654559219,-1.23711350944153,1.18632027705368,0,0,0,171.312513540901,15.4278561288017,-0.769988015650327,-0.334753403251719,21.0949940722863,-0.217841140427834,14.6830568753194,0,0,0,0,0,0,package://kuka/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://kuka/meshes/base_link.STL,,kuka_unproper_orientation-1/simu_2.stp-1;kuka_unproper_orientation-1/supportPlate-1;kuka_unproper_orientation-1/slide_HGH35_b-1;kuka_unproper_orientation-1/slide_HGH35_b-2;kuka_unproper_orientation-1/slide_HGH35_b-3;kuka_unproper_orientation-1/slide_HGH35_b-4;kuka_unproper_orientation-1/SFU2510_connector-1;kuka_unproper_orientation-1/SFU2510_nut-1;kuka_unproper_orientation-1/实体3-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,0.00796741917398325,0.00201869055885329,0.332718073498992,0,0,0,6.27526433045034,0.0762054973038634,9.82188144602616E-06,-0.00530053527199498,0.0500772495062883,-0.000515039637430452,0.0562692167501716,0,0,0,0,0,0,package://kuka/meshes/Link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://kuka/meshes/Link1.STL,,kuka_unproper_orientation-1/实体2-1,Origin_Joint1,axis_1 <kuka_unproper_orientation-1>,Joint1,revolute,0.99274,-1.1143,1.2159,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
Link2,-0.00525474426050976,-0.00581945167957376,0.131443823337851,0,0,0,7.36258419634408,0.151415779931163,-1.49717873128011E-05,0.000868975869957531,0.135639503612803,0.00168356970516859,0.0384883579875792,0,0,0,0,0,0,package://kuka/meshes/Link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://kuka/meshes/Link2.STL,,kuka_unproper_orientation-1/实体14-1,Origin_Joint2,axis_2 <kuka_unproper_orientation-1>,Joint2,revolute,0.025,0,0.4,0,0,0,Link1,0,1,0,0,0,0,0,,,,,,,,
Link3,0.0158897368152564,0.000775516230594464,0.0103622040756426,0,0,0,2.90698496298682,0.00835937629920169,3.5250448987803E-05,-0.00140858848013628,0.0112132449222538,1.88954265908357E-05,0.0100277382159978,0,0,0,0,0,0,package://kuka/meshes/Link3.STL,0.8,1,0.2,1,0,0,0,0,0,0,package://kuka/meshes/Link3.STL,,kuka_unproper_orientation-1/实体1-1,Origin_Joint3,axis_3 <kuka_unproper_orientation-1>,Joint3,revolute,0,0.003,0.315,0,0,0,Link2,0,1,0,0,0,0,0,,,,,,,,
Link4,0.255931724655061,0.0034688213159344,0.000289159424440966,0,0,0,2.75654211573085,0.00584711967477623,-0.00015632319294057,5.19520515729141E-06,0.0156113114634342,1.44373513440274E-05,0.0172713089969858,0,0,0,0,0,0,package://kuka/meshes/Link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://kuka/meshes/Link4.STL,,kuka_unproper_orientation-1/实体13-1,Origin_Joint4,axis_4 <kuka_unproper_orientation-1>,Joint4,revolute,-0.025,0,0.035,0,0,0,Link3,-1,0,0,0,0,0,0,,,,,,,,
Link5,0.0157891702201634,0.00191367544254928,-3.039581434372E-05,0,0,0,0.442067197041382,0.000318420757784049,1.66314420372694E-05,3.20639671748359E-07,0.000528480030475793,3.23079721638147E-07,0.000562282896446429,0,0,0,0,0,0,package://kuka/meshes/Link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://kuka/meshes/Link5.STL,,kuka_unproper_orientation-1/实体4-1,Origin_Joint5,axis_5 <kuka_unproper_orientation-1>,Joint5,revolute,0.39,0,0,0,0,0,Link4,0,-1,0,0,0,0,0,,,,,,,,
Link6,0.462480331956145,1.01252339845814E-13,4.31407313123966E-05,0,0,0,0.0139949492210216,3.02502810414484E-06,1.83000555009878E-20,-8.56055866654998E-10,1.71731248188306E-06,2.63558962089382E-22,1.70788961196185E-06,0,0,0,0,0,0,package://kuka/meshes/Link6.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://kuka/meshes/Link6.STL,,kuka_unproper_orientation-1/实体23-1,Origin_Joint6,axis_6 <kuka_unproper_orientation-1>,Joint6,revolute,-0.39,0,0,0,0,0,Link5,-1,0,0,0,0,0,0,,,,,,,,
