Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.578233258845226,-0.427953822747016,1.1000699972909,0,0,0,156.699273713239,15.3483916720076,-0.769890218667312,-0.333622669748492,20.9696858078629,-0.21782222630579,14.5591699314294,0,0,0,0,0,0,package://kuka_urdf/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://kuka_urdf/meshes/base_link.STL,,simu_2.stp-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,0.000184791414012397,-0.0351156705591721,-0.0891985403422144,0,0,0,13.310335827662,0.123810684850794,-9.77969830121113E-05,1.89141220859337E-05,0.0747995175973456,0.00113073350324059,0.118881621023301,0,0,0,0,0,0,package://kuka_urdf/meshes/Link1.STL,0.996078431372549,0.996078431372549,1,1,0,0,0,0,0,0,package://kuka_urdf/meshes/Link1.STL,,supportPlate-1;slide_HGH35_b-1;slide_HGH35_b-2;slide_HGH35_b-3;slide_HGH35_b-4;SFU2510_connector-1;SFU2510_nut-1;实体3-1,Origin_Joint1,axis_1,Joint1,prismatic,0.8275,-0.43219,1.1355,3.1416,0,1.5708,base_link,1,0,0,500,3.14,-0.27,0.24,,,,,,,,
Link2,0.00796741917398314,0.0020186905588524,0.115718073498994,0,0,0,6.27526433045033,0.0762054973038636,9.82188144587243E-06,-0.00530053527199484,0.0500772495062883,-0.000515039637430357,0.0562692167501715,0,0,0,0,0,0,package://kuka_urdf/meshes/Link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://kuka_urdf/meshes/Link2.STL,,实体2-1,Origin_Joint2,axis_2,Joint2,revolute,0,0,-0.224,3.1416,0,1.5708,Link1,0,0,1,500,3.14,-3.14,3.14,,,,,,,,
Link3,-0.00525474427373718,-0.00581945166653991,0.131443823398878,0,0,0,7.36258419830387,0.151415780044457,-1.49717820004289E-05,0.000868975891907109,0.135639503717904,0.0016835696815704,0.0384883579896225,0,0,0,0,0,0,package://kuka_urdf/meshes/Link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://kuka_urdf/meshes/Link3.STL,,实体14-1,Origin_Joint3,axis_3,Joint3,revolute,0.025,0,0.183,0,0,0,Link2,0,-1,0,500,3.14,-3.14,3.14,,,,,,,,
Link4,0.0158897367923805,0.00377551624205658,0.0103622040751816,0,0,0,2.90698496202437,0.00835937629773658,3.52504465505377E-05,-0.00140858848005456,0.011213244917395,1.8895426302058E-05,0.0100277382096519,0,0,0,0,0,0,package://kuka_urdf/meshes/Link4.STL,0.8,1,0.2,1,0,0,0,0,0,0,package://kuka_urdf/meshes/Link4.STL,,实体1-1,Origin_Joint4,axis_4,Joint4,revolute,0,0,0.315,0,0,0,Link3,0,-1,0,500,3.14,-3.14,3.14,,,,,,,,
Link5,0.123981724655046,0.00346882131595361,0.00028915942443053,0,0,0,2.75654211573216,0.0058471196747796,-0.000156323192938149,5.19520515622436E-06,0.0156113114634371,1.44373513455729E-05,0.0172713089969916,0,0,0,0,0,0,package://kuka_urdf/meshes/Link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://kuka_urdf/meshes/Link5.STL,,实体13-1,Origin_Joint5,axis_5,Joint5,revolute,0.10695,0.003,0.035,0,0,0,Link4,-1,0,0,500,3.14,-3.14,3.14,,,,,,,,
Link6,0.0157891702201662,0.00191367544264914,-3.03958143457184E-05,0,0,0,0.442067197041369,0.000318420757784038,1.66314420372686E-05,3.20639671746857E-07,0.000528480030475774,3.23079721640429E-07,0.00056228289644641,0,0,0,0,0,0,package://kuka_urdf/meshes/Link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://kuka_urdf/meshes/Link6.STL,,实体4-1,Origin_Joint6,axis_6,Joint6,revolute,0.25805,0,0,0,0,0,Link5,0,1,0,500,3.14,-3.14,3.14,,,,,,,,
Link7,0.005980331956146,9.99200722162641E-16,4.3140731314617E-05,0,0,0,0.0139949492210214,3.02502810414478E-06,-3.28557292586778E-21,-8.56055866652824E-10,1.71731248188302E-06,1.20148684682558E-22,1.70788961196181E-06,0,0,0,0,0,0,package://kuka_urdf/meshes/Link7.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://kuka_urdf/meshes/Link7.STL,,实体23-1,Origin_Joint7,axis_7,Joint7,revolute,0.0665,0,0,0,0,0,Link6,1,0,0,500,3.14,-3.14,3.14,,,,,,,,
